,year,country,expectancy,dtp3,continent
0,1980,Afghanistan,43.3,4.0,Asia
1,1981,Afghanistan,44.1,3.0,Asia
2,1982,Afghanistan,43.8,5.0,Asia
3,1983,Afghanistan,42.0,5.0,Asia
4,1984,Afghanistan,39.8,16.0,Asia
5,1985,Afghanistan,41.6,15.0,Asia
6,1986,Afghanistan,42.6,11.0,Asia
7,1987,Afghanistan,44.7,25.0,Asia
8,1988,Afghanistan,47.0,35.0,Asia
9,1989,Afghanistan,50.8,33.0,Asia
10,1990,Afghanistan,51.6,25.0,Asia
11,1991,Afghanistan,51.3,23.0,Asia
12,1992,Afghanistan,51.4,21.0,Asia
13,1993,Afghanistan,51.4,18.0,Asia
14,1994,Afghanistan,50.7,12.0,Asia
15,1995,Afghanistan,51.1,20.0,Asia
16,1996,Afghanistan,51.4,31.0,Asia
17,1997,Afghanistan,51.1,28.0,Asia
18,1998,Afghanistan,50.1,27.0,Asia
19,1999,Afghanistan,51.5,27.0,Asia
20,2000,Afghanistan,51.6,24.0,Asia
21,2001,Afghanistan,51.7,33.0,Asia
22,2002,Afghanistan,52.4,36.0,Asia
23,2003,Afghanistan,53.0,41.0,Asia
24,2004,Afghanistan,53.5,50.0,Asia
25,2005,Afghanistan,53.9,58.0,Asia
26,2006,Afghanistan,54.1,58.0,Asia
27,2007,Afghanistan,54.6,63.0,Asia
28,2008,Afghanistan,55.2,64.0,Asia
29,2009,Afghanistan,55.7,63.0,Asia
30,2010,Afghanistan,56.2,66.0,Asia
31,2011,Afghanistan,56.7,66.0,Asia
32,1980,Albania,72.3,94.0,Europe
33,1981,Albania,72.4,94.0,Europe
34,1982,Albania,72.5,95.0,Europe
35,1983,Albania,72.6,95.0,Europe
36,1984,Albania,72.8,95.0,Europe
37,1985,Albania,73.0,96.0,Europe
38,1986,Albania,73.2,96.0,Europe
39,1987,Albania,73.2,96.0,Europe
40,1988,Albania,73.4,96.0,Europe
41,1989,Albania,73.7,94.0,Europe
42,1990,Albania,73.9,94.0,Europe
43,1991,Albania,73.9,78.0,Europe
44,1992,Albania,73.9,94.0,Europe
45,1993,Albania,73.9,96.0,Europe
46,1994,Albania,74.0,99.0,Europe
47,1995,Albania,74.1,97.0,Europe
48,1996,Albania,74.3,98.0,Europe
49,1997,Albania,72.5,99.0,Europe
50,1998,Albania,74.3,96.0,Europe
51,1999,Albania,74.4,97.0,Europe
52,2000,Albania,74.4,97.0,Europe
53,2001,Albania,74.5,97.0,Europe
54,2002,Albania,74.5,98.0,Europe
55,2003,Albania,74.6,97.0,Europe
56,2004,Albania,74.7,97.0,Europe
57,2005,Albania,74.9,98.0,Europe
58,2006,Albania,75.2,97.0,Europe
59,2007,Albania,75.4,98.0,Europe
60,2008,Albania,75.6,99.0,Europe
61,2009,Albania,75.9,98.0,Europe
62,2010,Albania,76.3,99.0,Europe
63,2011,Albania,76.7,99.0,Europe
64,1980,Argentina,69.8,44.0,Americas
65,1981,Argentina,70.2,49.0,Americas
66,1982,Argentina,70.5,58.0,Americas
67,1983,Argentina,70.6,61.0,Americas
68,1984,Argentina,70.9,62.0,Americas
69,1985,Argentina,71.3,66.0,Americas
70,1986,Argentina,71.6,67.0,Americas
71,1987,Argentina,71.8,75.0,Americas
72,1988,Argentina,71.9,80.0,Americas
73,1989,Argentina,72.0,80.0,Americas
74,1990,Argentina,72.1,87.0,Americas
75,1991,Argentina,72.3,80.0,Americas
76,1992,Argentina,72.5,81.0,Americas
77,1993,Argentina,72.7,81.0,Americas
78,1994,Argentina,73.0,82.0,Americas
79,1995,Argentina,73.1,85.0,Americas
80,1996,Argentina,73.3,83.0,Americas
81,1997,Argentina,73.5,88.0,Americas
82,1998,Argentina,73.7,84.0,Americas
83,1999,Argentina,73.9,86.0,Americas
84,2000,Argentina,74.2,83.0,Americas
85,2001,Argentina,74.4,83.0,Americas
86,2002,Argentina,74.5,92.0,Americas
87,2003,Argentina,74.6,93.0,Americas
88,2004,Argentina,74.9,91.0,Americas
89,2005,Argentina,75.2,94.0,Americas
90,2006,Argentina,75.3,94.0,Americas
91,2007,Argentina,75.3,96.0,Americas
92,2008,Argentina,75.5,92.0,Americas
93,2009,Argentina,75.7,87.0,Americas
94,2010,Argentina,75.8,94.0,Americas
95,2011,Argentina,76.0,93.0,Americas
96,1980,Australia,74.6,33.0,Oceania
97,1981,Australia,74.9,40.0,Oceania
98,1982,Australia,75.0,48.0,Oceania
99,1983,Australia,75.3,55.0,Oceania
100,1984,Australia,75.5,62.0,Oceania
101,1985,Australia,75.7,68.0,Oceania
102,1986,Australia,76.0,75.0,Oceania
103,1987,Australia,76.2,81.0,Oceania
104,1988,Australia,76.4,88.0,Oceania
105,1989,Australia,76.6,93.0,Oceania
106,1990,Australia,77.0,95.0,Oceania
107,1991,Australia,77.4,93.0,Oceania
108,1992,Australia,77.6,91.0,Oceania
109,1993,Australia,77.9,90.0,Oceania
110,1994,Australia,78.1,88.0,Oceania
111,1995,Australia,78.3,86.0,Oceania
112,1996,Australia,78.5,86.0,Oceania
113,1997,Australia,78.8,77.0,Oceania
114,1998,Australia,79.1,82.0,Oceania
